2025-06-01 05:26:37 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:38 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:38 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:39 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:39 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:40 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:40 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:41 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:41 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:42 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:42 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:43 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:43 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:44 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:44 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:45 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:45 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:46 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:46 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:47 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:47 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:48 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:48 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:49 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:49 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:50 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:50 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:51 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:51 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:52 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:52 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:53 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:53 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:54 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:54 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:26:55 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:26:55 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:27:55 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:27:55 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:21 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:21 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:22 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:22 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:23 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:23 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:23 - User ID: 1003, Last Time: 1748748203
2025-06-01 05:28:23 - Sending back latest timestamp: 1748769943, Messages: 2
2025-06-01 05:28:24 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:24 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:25 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:25 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:26 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:26 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:27 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:27 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:28 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:28 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:29 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:29 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:30 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:30 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:31 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:31 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:32 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:32 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:33 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:33 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:34 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:34 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:35 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:35 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:36 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:36 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:37 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:37 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:38 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:38 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:39 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:39 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:40 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:40 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:41 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:41 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:42 - User ID: 1003, Last Time: 1748769943
2025-06-01 05:28:42 - Sending back latest timestamp: 1748769943, Messages: 0
2025-06-01 05:28:42 - User ID: 1003, Last Time: 1748748222
2025-06-01 05:28:42 - Sending back latest timestamp: 1748770114, Messages: 3
2025-06-01 05:28:43 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:28:43 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:28:44 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:28:44 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:28:45 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:28:45 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:28:46 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:28:46 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:28:47 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:28:47 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:28:48 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:28:48 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:28:49 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:28:49 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:28:50 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:28:50 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:28:51 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:28:51 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:28:53 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:28:53 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:28:54 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:28:54 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:28:55 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:28:55 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:28:56 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:28:56 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:28:57 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:28:57 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:28:58 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:28:58 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:28:59 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:28:59 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:00 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:00 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:01 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:01 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:02 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:02 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:03 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:03 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:04 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:04 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:05 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:05 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:06 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:06 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:07 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:07 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:08 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:08 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:09 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:09 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:10 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:10 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:11 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:11 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:12 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:12 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:13 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:13 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:14 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:14 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:15 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:15 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:16 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:16 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:17 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:17 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:18 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:18 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:19 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:19 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:20 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:20 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:21 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:21 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:22 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:22 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:23 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:23 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:24 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:24 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:25 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:25 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:26 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:26 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:27 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:27 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:28 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:28 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:29 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:29 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:30 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:30 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:31 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:31 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:32 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:32 - Sending back latest timestamp: 1748770114, Messages: 0
2025-06-01 05:29:33 - User ID: 1003, Last Time: 1748770114
2025-06-01 05:29:33 - Sending back latest timestamp: 1748770114, Messages: 0
